"long" "lat" "order" "hole" "piece" "id" "group"
754872.14577437 1445316.56655167 1 FALSE 1 5 5.1
755882.98018761 1444989.69187382 2 FALSE 1 5 5.1
756588.79236815 1445107.41541554 3 FALSE 1 5 5.1
758290.96916894 1444134.62689815 4 FALSE 1 5 5.1
759752.47242162 1443539.70330084 5 FALSE 1 5 5.1
760958.15161191 1442437.10245288 6 FALSE 1 5 5.1
762288.59321475 1441986.79582862 7 FALSE 1 5 5.1
763684.27345686 1441326.02090488 8 FALSE 1 5 5.1
763615.02992642 1440817.2290729 9 FALSE 1 5 5.1
764755.95716844 1439980.81532801 10 FALSE 1 5 5.1
764872.31280628 1439139.03771992 11 FALSE 1 5 5.1
765062.87599476 1437732.36825717 12 FALSE 1 5 5.1
765306.494204 1435882.7343439 13 FALSE 1 5 5.1
765364.30249122 1434476.80812539 14 FALSE 1 5 5.1
765726.48364639 1432161.69559915 15 FALSE 1 5 5.1
766037.8547167 1430687.99770566 16 FALSE 1 5 5.1
766413.98191615 1428903.95818551 17 FALSE 1 5 5.1
766530.45594856 1428062.20509252 18 FALSE 1 5 5.1
766842.28007289 1426654.91819162 19 FALSE 1 5 5.1
767032.70814333 1425181.90748075 20 FALSE 1 5 5.1
767081.30730934 1423908.9438766 21 FALSE 1 5 5.1
766954.54378151 1423013.1034686 22 FALSE 1 5 5.1
766512.94742493 1422827.40662006 23 FALSE 1 5 5.1
764410.63669245 1421245.04569522 24 FALSE 1 5 5.1
762803.80495907 1419726.52547955 25 FALSE 1 5 5.1
761407.45387774 1418273.26860828 26 FALSE 1 5 5.1
760577.28577903 1417635.88240851 27 FALSE 1 5 5.1
759297.12519125 1415473.65319087 28 FALSE 1 5 5.1
757304.67834935 1411987.21053295 29 FALSE 1 5 5.1
755580.96380873 1409373.58804553 30 FALSE 1 5 5.1
754102.40204582 1407157.18428479 31 FALSE 1 5 5.1
752380.31576312 1404742.87212118 32 FALSE 1 5 5.1
750714.18203251 1402582.86655502 33 FALSE 1 5 5.1
749359.2549881 1398948.99776106 34 FALSE 1 5 5.1
748271.26209179 1397748.73963582 35 FALSE 1 5 5.1
747373.03155777 1395008.77664835 36 FALSE 1 5 5.1
746260.16021832 1393453.2477721 37 FALSE 1 5 5.1
745961.57044057 1393035.45385535 38 FALSE 1 5 5.1
745126.04398982 1391579.15920364 39 FALSE 1 5 5.1
745190.22810025 1391324.18024666 40 FALSE 1 5 5.1
744863.1187237 1390042.11166291 41 FALSE 1 5 5.1
744411.97212511 1388262.60591367 42 FALSE 1 5 5.1
744210.07384421 1387688.13322064 43 FALSE 1 5 5.1
743696.0171596 1386539.92176689 44 FALSE 1 5 5.1
743571.91665443 1386031.50735325 45 FALSE 1 5 5.1
742870.52764186 1384950.76332133 46 FALSE 1 5 5.1
742799.05665915 1383932.81573186 47 FALSE 1 5 5.1
742664.93423409 1383734.28114904 48 FALSE 1 5 5.1
742466.06727229 1381632.30393578 49 FALSE 1 5 5.1
742587.62010872 1379772.03123459 50 FALSE 1 5 5.1
742450.74097155 1378942.67118358 51 FALSE 1 5 5.1
742315.97374267 1376707.47689315 52 FALSE 1 5 5.1
741987.03485643 1375115.41065413 53 FALSE 1 5 5.1
741863.98869007 1374795.14725835 54 FALSE 1 5 5.1
741726.73099434 1373899.33383596 55 FALSE 1 5 5.1
741087.7380111 1372120.85562997 56 FALSE 1 5 5.1
740695.83734811 1371160.03199571 57 FALSE 1 5 5.1
738901.57674673 1368048.78173324 58 FALSE 1 5 5.1
738067.33287216 1366902.30876029 59 FALSE 1 5 5.1
737482.90097224 1365123.50387651 60 FALSE 1 5 5.1
737156.72906024 1364040.58199261 61 FALSE 1 5 5.1
736644.2179664 1363213.29261134 62 FALSE 1 5 5.1
735172.04323902 1360542.93327905 63 FALSE 1 5 5.1
734201.00631514 1358633.52474047 64 FALSE 1 5 5.1
733415.3289198 1354542.2967686 65 FALSE 1 5 5.1
733071.89591552 1351931.84508923 66 FALSE 1 5 5.1
732953.90308791 1351035.88438628 67 FALSE 1 5 5.1
732561.03588433 1348027.24211853 68 FALSE 1 5 5.1
732040.01273393 1345738.8162607 69 FALSE 1 5 5.1
731450.67762643 1342996.88218417 70 FALSE 1 5 5.1
731440.86341964 1341270.11218944 71 FALSE 1 5 5.1
730920.12760888 1339036.98077712 72 FALSE 1 5 5.1
730978.19244935 1337686.17283757 73 FALSE 1 5 5.1
731359.49024188 1336720.97411532 74 FALSE 1 5 5.1
731923.72570033 1334869.15037759 75 FALSE 1 5 5.1
732358.79724279 1333715.49923492 76 FALSE 1 5 5.1
732671.44100722 1332363.28747402 77 FALSE 1 5 5.1
734317.4064222 1330428.02026888 78 FALSE 1 5 5.1
734945.85962807 1328254.9734362 79 FALSE 1 5 5.1
735438.50133833 1325429.62781888 80 FALSE 1 5 5.1
736650.25722975 1324780.9566971 81 FALSE 1 5 5.1
737776.87583223 1322727.06611348 82 FALSE 1 5 5.1
738858.05429431 1320352.46611152 83 FALSE 1 5 5.1
739985.20975821 1318354.00433131 84 FALSE 1 5 5.1
740684.87986405 1316944.52285496 85 FALSE 1 5 5.1
741120.08405403 1315724.68078537 86 FALSE 1 5 5.1
742762.71294657 1312959.90833908 87 FALSE 1 5 5.1
743396.62123455 1311672.62526314 88 FALSE 1 5 5.1
744287.5143458 1310837.81374076 89 FALSE 1 5 5.1
746125.09842831 1309345.10354156 90 FALSE 1 5 5.1
747516.97826171 1307223.93082457 91 FALSE 1 5 5.1
748407.68399408 1306322.84988899 92 FALSE 1 5 5.1
749739.16340229 1305220.32847751 93 FALSE 1 5 5.1
750313.16308715 1305029.27631755 94 FALSE 1 5 5.1
784708.06435351 1305033.44749321 95 FALSE 1 5 5.1
797828.95929483 1306715.28323253 96 FALSE 1 5 5.1
805602.92204204 1308885.87304529 97 FALSE 1 5 5.1
806252.46430462 1311184.76323483 98 FALSE 1 5 5.1
807335.03575578 1311114.0736943 99 FALSE 1 5 5.1
808033.7039737 1311996.53779624 100 FALSE 1 5 5.1
809053.43508331 1312888.77942736 101 FALSE 1 5 5.1
810143.39184719 1314732.2754468 102 FALSE 1 5 5.1
811675.50596407 1316762.20528773 103 FALSE 1 5 5.1
813021.36641685 1319246.49149338 104 FALSE 1 5 5.1
814364.90477771 1321155.41144056 105 FALSE 1 5 5.1
816150.74758211 1323317.1665098 106 FALSE 1 5 5.1
817491.84773696 1324639.78304866 107 FALSE 1 5 5.1
818712.82301173 1326294.82341701 108 FALSE 1 5 5.1
819668.1372126 1327884.45240022 109 FALSE 1 5 5.1
821212.13582592 1330368.01930659 110 FALSE 1 5 5.1
821661.82216145 1332601.28355647 111 FALSE 1 5 5.1
822552.69531857 1334578.40162713 112 FALSE 1 5 5.1
823322.29936813 1336799.39179971 113 FALSE 1 5 5.1
823272.68672178 1338403.80072027 114 FALSE 1 5 5.1
823977.53597248 1340890.55059723 115 FALSE 1 5 5.1
824489.58508045 1342039.31924661 116 FALSE 1 5 5.1
825443.29287794 1343308.10844443 117 FALSE 1 5 5.1
826916.92007675 1344696.70154571 118 FALSE 1 5 5.1
829460.00790578 1346147.79842871 119 FALSE 1 5 5.1
831503.60500314 1346649.35659944 120 FALSE 1 5 5.1
833215.55211161 1346953.02290074 121 FALSE 1 5 5.1
834043.18166348 1346950.09116231 122 FALSE 1 5 5.1
835187.79567064 1346105.26456145 123 FALSE 1 5 5.1
836264.85578801 1344950.93820865 124 FALSE 1 5 5.1
837278.93056374 1344560.21027904 125 FALSE 1 5 5.1
838424.98126906 1344102.63806691 126 FALSE 1 5 5.1
839439.31088768 1343778.37890188 127 FALSE 1 5 5.1
840333.45405343 1343764.26372249 128 FALSE 1 5 5.1
841094.60001765 1343761.69191875 129 FALSE 1 5 5.1
841988.96039848 1343813.97043836 130 FALSE 1 5 5.1
842629.30057131 1343944.60639985 131 FALSE 1 5 5.1
843071.5166465 1343998.46927827 132 FALSE 1 5 5.1
843139.32613932 1344639.8710114 133 FALSE 1 5 5.1
843716.07113393 1345401.27942009 134 FALSE 1 5 5.1
844347.12046858 1346040.86513633 135 FALSE 1 5 5.1
844538.01698624 1346991.61896077 136 FALSE 1 5 5.1
844167.00944929 1348342.5684797 137 FALSE 1 5 5.1
845250.06740143 1348715.10355367 138 FALSE 1 5 5.1
845948.17709343 1349796.96159678 139 FALSE 1 5 5.1
846459.15304868 1350813.07701601 140 FALSE 1 5 5.1
846781.55134753 1351575.33813166 141 FALSE 1 5 5.1
846400.62356178 1352981.58418655 142 FALSE 1 5 5.1
846148.52047164 1353624.09061894 143 FALSE 1 5 5.1
846341.09389731 1355094.813445 144 FALSE 1 5 5.1
848128.9613819 1355343.36279762 145 FALSE 1 5 5.1
848891.13336905 1355462.57757883 146 FALSE 1 5 5.1
851056.77854562 1356462.29107409 147 FALSE 1 5 5.1
853220.74187316 1356964.28690566 148 FALSE 1 5 5.1
854877.48784548 1357589.65482122 149 FALSE 1 5 5.1
857296.40770534 1358655.18752625 150 FALSE 1 5 5.1
858821.08291839 1359347.44381347 151 FALSE 1 5 5.1
860413.52980642 1360482.05281424 152 FALSE 1 5 5.1
860860.70268032 1362527.22020749 153 FALSE 1 5 5.1
860997.83666038 1364186.14270151 154 FALSE 1 5 5.1
861699.47462462 1366352.28730174 155 FALSE 1 5 5.1
861834.2886032 1367247.93310934 156 FALSE 1 5 5.1
862529.20658282 1368038.34818792 157 FALSE 1 5 5.1
863173.43933348 1368770.4756998 158 FALSE 1 5 5.1
864563.71314357 1368832.75238437 159 FALSE 1 5 5.1
865456.84567959 1368951.75698196 160 FALSE 1 5 5.1
866729.64033868 1370286.57785364 161 FALSE 1 5 5.1
866731.47973042 1370917.12776464 162 FALSE 1 5 5.1
867186.8545165 1372132.60158767 163 FALSE 1 5 5.1
867629.21483162 1372640.17887758 164 FALSE 1 5 5.1
868578.43769833 1372692.76450092 165 FALSE 1 5 5.1
869151.59778895 1372757.47236005 166 FALSE 1 5 5.1
869913.37772474 1372876.98094223 167 FALSE 1 5 5.1
870301.99678669 1374026.3050769 168 FALSE 1 5 5.1
870625.51327759 1375363.91458732 169 FALSE 1 5 5.1
871764.15491527 1376378.40117852 170 FALSE 1 5 5.1
872593.84430463 1377338.39148984 171 FALSE 1 5 5.1
873426.25866952 1378984.31338579 172 FALSE 1 5 5.1
874828.36908612 1379810.12749089 173 FALSE 1 5 5.1
875021.84519913 1379808.22063515 174 FALSE 1 5 5.1
876416.55300943 1379794.68051511 175 FALSE 1 5 5.1
879271.76636535 1379842.24301598 176 FALSE 1 5 5.1
881631.30973253 1379824.92548199 177 FALSE 1 5 5.1
884421.84810614 1380260.13556319 178 FALSE 1 5 5.1
887090.68446236 1380496.7538597 179 FALSE 1 5 5.1
888743.93845997 1380293.59105637 180 FALSE 1 5 5.1
890585.07589992 1380211.66486384 181 FALSE 1 5 5.1
892438.7000713 1380782.3407589 182 FALSE 1 5 5.1
895427.01401021 1381007.60609928 183 FALSE 1 5 5.1
